### Start: LOESCHE-19 ###

# Rename BaseStore #
INSERT_UPDATE BaseStore;uid[unique=true];defaultCurrency(isocode);name[lang=de];name[lang=en];taxGroup(code);currencies(isocode);pointsOfService(name);
;aitsBaseStore;EUR;aits;aits;de-taxes;EUR;


# Rename ContentCatalog #
UPDATE ContentCatalog;id[unique=true];id;name[lang=de];name[lang=en];
;apparel-ukContentCatalog;aitsContentCatalog;Aits Content Catalog;Aits Content Catalog;


# Rename ContentCatalog #
UPDATE ContentCatalog;id[unique=true];id;name[lang=de];name[lang=en];
;apparel-ukContentCatalog;aitsContentCatalog;Aits Content Catalog;Aits Content Catalog;

# Rename ProductCatalog #
UPDATE Catalog;id[unique=true];id;name[lang=de];name[lang=en];
;apparelProductCatalog;aitsProductCatalog;Aits Product Catalog;Aits Product Catalog;
